dataset,num_blocks,embed_dim,pretrained_source,type,batch_size,update_iters,repeat_idx,data_aug,acc,ece,nll,time_taken
cifar10,6,512,in21k,ibprobit,512,32,90,False,0.8323000073432922,0.0465445779263973,0.5503267645835876,5.947766065597534
cifar10,6,512,in21k,ibprobit,512,32,93,False,0.835099995136261,0.0481059253215789,0.5536692142486572,5.83183479309082
cifar10,6,512,in21k,ibprobit,512,32,87,False,0.8303999900817871,0.0473801642656326,0.5490131974220276,5.76555609703064
cifar10,6,512,in21k,ibprobit,512,32,13,False,0.830299973487854,0.0507226698100566,0.5637663006782532,5.600401878356934
cifar10,6,512,in21k,ibprobit,512,32,0,False,0.8356999754905701,0.0452465116977691,0.5494480133056641,5.621276140213013
cifar10,6,512,in21k,ibprobit,512,32,53,False,0.8337999582290649,0.0457398816943168,0.543279230594635,5.740258693695068
cifar10,6,512,in21k,ibprobit,512,32,18,False,0.8346999883651733,0.0448613055050373,0.5437010526657104,5.752820730209351
cifar10,6,512,in21k,ibprobit,512,32,20,False,0.833299994468689,0.0455179661512374,0.5477188229560852,5.666736364364624
cifar10,6,512,in21k,ibprobit,512,32,16,False,0.8287000060081482,0.0519130080938339,0.5496799349784851,5.640357732772827
cifar10,6,512,in21k,ibprobit,512,32,76,False,0.8309999704360962,0.050545860081911,0.5520864129066467,5.663946628570557
cifar10,6,512,in21k,ibprobit,512,32,25,False,0.8348999619483948,0.047651968896389,0.5506963729858398,5.722388505935669
cifar10,6,512,in21k,ibprobit,512,32,32,False,0.8359000086784363,0.047851089388132,0.5430212020874023,5.627590179443359
cifar10,6,512,in21k,ibprobit,512,32,42,False,0.8333999514579773,0.0466436594724655,0.5476891994476318,5.745339870452881
cifar10,6,512,in21k,ibprobit,512,32,82,False,0.832099974155426,0.0481353253126144,0.5541731119155884,5.64637303352356
cifar10,6,512,in21k,ibprobit,512,32,92,False,0.8348000049591064,0.047271192073822,0.5519852638244629,5.836264371871948
cifar10,6,512,in21k,ibprobit,512,32,39,False,0.8341999650001526,0.0450130030512809,0.5482600331306458,5.753410577774048
cifar10,6,512,in21k,ibprobit,512,32,7,False,0.8343999981880188,0.0442509353160858,0.5454733371734619,5.652103900909424
cifar10,6,512,in21k,ibprobit,512,32,41,False,0.8352999687194824,0.0478397496044635,0.5504996180534363,5.573110342025757
cifar10,6,512,in21k,ibprobit,512,32,63,False,0.8335999846458435,0.0455779433250427,0.5490295886993408,5.6967453956604
cifar10,6,512,in21k,ibprobit,512,32,80,False,0.8283999562263489,0.0525450929999351,0.5659995675086975,5.823515176773071
cifar10,6,512,in21k,ibprobit,512,32,62,False,0.833299994468689,0.0474717915058136,0.5556707382202148,5.663159608840942
cifar10,6,512,in21k,ibprobit,512,32,6,False,0.8326999545097351,0.0483481623232364,0.5452941060066223,5.57930064201355
cifar10,6,512,in21k,ibprobit,512,32,21,False,0.8319000005722046,0.0479444526135921,0.5536436438560486,5.578551292419434
cifar10,6,512,in21k,ibprobit,512,64,88,False,0.828499972820282,0.0641546174883842,0.5726388692855835,5.998687744140625
cifar10,6,512,in21k,ibprobit,512,64,73,False,0.8269000053405762,0.0635174438357353,0.5881551504135132,5.914151191711426
cifar10,6,512,in21k,ibprobit,512,64,90,False,0.8255999684333801,0.0678683221340179,0.5899584889411926,5.9691126346588135
cifar10,6,512,in21k,ibprobit,512,64,93,False,0.8276999592781067,0.0669974088668823,0.5857215523719788,5.873947381973267
cifar10,6,512,in21k,ibprobit,512,64,87,False,0.8256999850273132,0.0651260092854499,0.5863192081451416,5.813303470611572
cifar10,6,512,in21k,ibprobit,512,64,13,False,0.8306999802589417,0.0627234876155853,0.5649522542953491,5.877859592437744
cifar10,6,512,in21k,ibprobit,512,64,0,False,0.8313999772071838,0.0640606582164764,0.5701634883880615,5.906519174575806
cifar10,6,512,in21k,ibprobit,512,64,53,False,0.8292999863624573,0.0639689564704895,0.5761477947235107,5.95112943649292
cifar10,6,512,in21k,ibprobit,512,64,18,False,0.8292999863624573,0.065707542002201,0.5789704918861389,5.875314235687256
cifar10,6,512,in21k,ibprobit,512,64,20,False,0.82669997215271,0.0642918497323989,0.5867899060249329,5.850401401519775
cifar10,6,512,in21k,ibprobit,512,64,16,False,0.8305999636650085,0.0598949268460273,0.57489413022995,6.020154476165772
cifar10,6,512,in21k,ibprobit,512,64,76,False,0.8300999999046326,0.0627390146255493,0.5848276019096375,5.806104421615601
cifar10,6,512,in21k,ibprobit,512,64,25,False,0.8298999667167664,0.0615874826908111,0.5646019577980042,5.822893142700195
cifar10,6,512,in21k,ibprobit,512,64,32,False,0.8276999592781067,0.0635661408305168,0.5863035917282104,5.846419811248779
cifar10,6,512,in21k,ibprobit,512,64,42,False,0.8281999826431274,0.0618669129908084,0.5886260867118835,5.981847047805786
cifar10,6,512,in21k,ibprobit,512,64,82,False,0.8314999938011169,0.0617880448698997,0.5813931226730347,6.013414144515991
cifar10,6,512,in21k,ibprobit,512,64,92,False,0.8278999924659729,0.0634445324540138,0.5807774066925049,5.974549055099487
cifar10,6,512,in21k,ibprobit,512,64,39,False,0.8312999606132507,0.0616703666746616,0.5771706104278564,6.022578001022339
cifar10,6,512,in21k,ibprobit,512,64,7,False,0.8300999999046326,0.0618721842765808,0.5791552066802979,5.87351131439209
cifar10,6,512,in21k,ibprobit,512,64,41,False,0.8297999501228333,0.0633992329239845,0.583964467048645,5.858307838439941
cifar10,6,512,in21k,ibprobit,512,64,63,False,0.8233999609947205,0.0710650980472564,0.6031824350357056,5.895638704299927
cifar10,6,512,in21k,ibprobit,512,64,80,False,0.8280999660491943,0.0653306692838668,0.5708261728286743,5.845520257949829
